ID Transaksi;Tanggal;Bulan;Tahun;Usia Pembeli;Gender;Berat Barang (gr);Berapa Kali Transaksi;Waktu Pengiriman (Hari);Ongkos Kirim
5500;10;10;2023;57;P;450;3;11;30000
6180;16;5;2022;21;P;721;3;13;20000
6492;19;10;2023;58;L;256;7;3;30000
3058;2;2;2024;32;P;41;8;9;40000
2370;20;11;2022;78;P;204;9;12;20000
1661;10;1;2024;74;L;200;5;1;30000
5346;21;9;2022;25;P;726;9;7;40000
3904;23;6;2022;41;P;240;14;10;30000
4666;14;6;2022;70;P;636;10;12;50000
5806;26;7;2022;48;L;639;17;5;30000
5606;20;10;2024;65;P;318;6;7;50000
6708;5;10;2023;66;L;451;16;3;30000
9247;20;12;2024;80;P;306;10;3;50000
9600;28;3;2024;59;P;462;2;8;40000
9307;14;10;2024;42;P;202;10;7;10000
8291;28;4;2024;57;P;501;1;12;50000
8996;26;9;2024;50;L;580;7;7;30000
9625;20;5;2024;42;P;121;3;11;40000
8225;14;12;2024;76;L;223;12;7;10000
7176;31;3;2023;72;L;7;18;6;30000
8355;24;1;2024;51;L;74;5;3;20000
7282;20;2;2023;37;P;878;13;7;40000
6239;16;4;2022;53;P;775;4;12;50000
5461;2;12;2023;50;P;287;19;5;30000
4111;27;5;2024;30;L;711;9;1;30000
598;10;8;2022;27;P;665;19;2;20000
6462;15;5;2023;36;L;509;3;6;20000
424;23;8;2024;35;P;496;11;5;40000
8172;10;6;2022;72;P;226;19;3;40000
6453;20;7;2023;70;L;721;14;14;40000
2823;13;12;2022;80;L;937;16;5;50000
2013;30;2;2023;55;L;980;11;11;50000
4477;8;4;2023;64;P;108;9;12;40000
1268;18;7;2022;64;L;105;2;7;40000
3980;6;3;2024;49;P;977;18;1;10000
9199;15;5;2024;37;L;447;10;2;50000
1070;16;5;2022;62;L;167;16;8;40000
1805;4;11;2022;57;L;982;10;7;40000
2282;28;12;2023;77;L;364;1;1;50000
302;2;10;2024;53;P;71;10;2;10000
1429;28;12;2023;70;P;332;1;8;50000
2410;11;6;2022;42;L;929;17;13;10000
2253;14;5;2024;75;L;294;4;10;50000
3291;16;5;2023;66;P;570;17;3;50000
7817;3;6;2023;77;P;553;4;8;50000
3594;23;11;2023;23;P;288;20;11;40000
1455;25;6;2024;44;L;681;7;8;20000
5057;17;6;2022;79;P;705;15;13;20000
3910;30;10;2024;72;L;27;10;10;10000
6012;9;5;2022;68;L;306;6;12;30000
1334;5;3;2022;57;L;989;15;2;40000
8445;8;9;2024;21;P;640;4;7;30000
8561;15;7;2023;56;P;564;10;7;40000
8595;2;10;2022;50;L;629;1;1;20000
3469;25;6;2024;57;P;215;16;9;40000
6238;23;7;2022;23;L;934;15;2;50000
2698;25;12;2024;55;L;546;12;6;20000
2571;4;9;2022;77;L;639;1;7;30000
5257;26;2;2022;21;L;298;5;12;40000
